[ASR: Qwen | 語言: Chinese]
[914.59s -> 966.83s] SPEAKER_01: 除了剛剛所提到的不管是電池系統也好電控系統也好好這些相關的這些驗證也好以外其實呢我們還提到跟安全息息相關就是未來剛剛你也提到自動駕駛呃現在只有輔助駕駛就是我們講的ADAS或叫Ltwo但是呢大家都知道Lfour或Lfive目前全球在積極研發當中很有可能在未來十年之內就會有落地的可能性出來了當這個東西出來了以後哈我相信這個挑戰就非常大執行長您的角度來看當這些技術已經陸續準備要落地要甚至準備要量產的時候這方面的規範不知道是EuropeandCape或其他國家相關的這些安全機構或者我們這邊有沒有一些比較實際的想法或者是更積極的作為能夠把這個東西在之前它落地之前做清楚的一個把關動作
[967.15s -> 1069.71s] SPEAKER_02: 大家在講自動駕駛或者我們講的這個智慧車輛坦白講它可以分成兩塊了哈兩個部分來看第一個部分是這樣的產品到底要不要真的所謂落地那如果落地那個定義是定義在就當做一般的車輛產品可以在一般的經銷商的體系做換手啊這是一塊那另外一塊是落地前的我們叫試驗哦那事實上現在呃經濟部有一個沙盒的一個試驗的計劃持續在進行這樣的一個試驗車輛哦它也必須被管理未來隨著這樣的一個更多的技術的要求呢我們現在正在哈目前中車安中心也正在協助交通部去擬定一個所謂呃智慧車輛的一個申請沙盒試驗的一個安全指引因為過去呃車廠要試驗智慧車依照那個沙盒試驗的這個條例呢它只要去定義它如何確保安全它是一個廠商自問自答的一個審查機制我們認為將來不能夠再由申請的廠商自問自答你必須至少你還是要回答一些一定要回答的問題你不能自己挑問題哦因為因為挑問題有可能你只挑你有辦法回答的問題哦所以以後的安全指引會問一些必問題這些必問題你必須要很明確的回答那隨著這個必問題以後越來越多將來各位注意到就會演變成這些必問題慢慢就會形成未來法規強制管理必須服的一些強制規定
[1070.27s -> 1116.92s] SPEAKER_01: 呃我們再來呃看到另外一個議題就是OTA空中下載我知道我們現在在臺灣呃這個其實這個路上這個賣的車子其實已經有車子在做其實也可以做得到但是對於我們VSCT相關的審來講我覺得是一個挑戰也就是說今天一臺新車剛剛所講的它做完審驗之後它車子開始上路了過沒多久這個車主呢他可以下載新的功能而這個新的功能有沒有辦法在經過這個相關的審驗也就是說每一臺車子的功能到時候都會變得不太一樣這方面我不知道我們執行長這邊對這個方面的管理該怎麼去做一個規
[1116.92s -> 1249.64s] SPEAKER_02: 範呢我們現在正在研究一套呃相關的管理機制在過去軟體的更新的被管理只會存在一個狀況就是剛前面所提的這個所謂車輛安全管理的第三個頻圖哦安全瑕疵召回改正它有時候必須做一些召回來做去做一些產品的改正那產品改正有時候可能是呃硬體的更新或更換但有些時候會有軟體的更新那這樣軟體的更新在過去呢如果是涉及安全瑕疵召回的話廠商都有這樣的責任必照必須依照交通部相關的管理辦法的規定呢提報一些管理的內容哦這個是從以前到目前為止針對車輛軟體更新的唯一目前有在納管的但這樣的納管呢隨著這個車輛技術的演進坦白講已經不夠了哦所以我們現在已經開過幾次會了那我們準備建議交通部在年底前哦能夠定定出三階段的所謂軟體更新的安全管理機制第一個階段呢呃初期我們是採取所謂報備制就任何車廠你的軟體更新包括雲端軟體更新也包括回廠哦做的軟體更新只要任何軟體更新有涉及新車安全的話呃車廠有責任要提出呃申報那很快的我們希望能夠趕快在很短的時間進入第一個階段就是所謂審查階段所謂審查階段就是原來前面所講的這個所謂申報制申報制是你可以事後申報當然你也可以事先申報等到進入第二階段的審查制的時候呢你軟體這樣的更新呢你就必須事先提出申請經過必要程序的安全的審查哦審查同意完之後才會被同意做這樣的軟體更新這是第我們規劃的第一個階段那第三個階段呢我們希望這樣的管理呢能夠再拉回來從車廠在申請合格證的時候新車出廠時候做就做起頭源頭的管理所以會把這樣的一個軟體的一個版本的管理呢
[1272.60s -> 1287.88s] SPEAKER_01: 相關的這個治安的管理哦就變得非常非常重要這個車子如果被害的話呢真是不得了哈會發生非常大的這個安全上的一個風險所以在這方面來講的話呃這麼專業的一個部分我們ESC接下來的計劃會怎麼樣去進行呢好車輛
[1287.96s -> 1295.64s] SPEAKER_02: 隨著這個呃智慧化的程度哈在治安的管理哦是越來越重要那這一塊坦白講
[1295.72s -> 1296.44s] UNKNOWN: 哈
[1296.44s -> 1347.08s] SPEAKER_02: 呃並不是我們安審中心的專業所以這個部分我們在今年的上半年好也跟那個中華電信好大家共同合作我們也也呃籤了一個合作備忘錄所以我們共同來一起跟交部來提一個呃研究的計劃一個部分是所謂車聯網的認證另外一個就是剛那個社長所提的這個治安的管理那治安的這個管理的相關的研究工作呢我們就要委託也要拜託那個中華電信來做協助那我們兩個單位呢會本於各自的專業不同領域然後共同來努力讓車聯網的認證跟治安的管理呢能夠一個非常好的一個建議的方案來提供給我們的主管機關來做後續的管理的一個參考
[1347.24s -> 1378.20s] SPEAKER_00: 那我想最後一個問題就是大家其實哦常常在網上提出來的就是說我們想了解是進口車到底跟國產車檢測的方式有什麼樣的不一樣那取得合格證的方式有什麼樣的不一樣為什麼民眾常常會覺得說哎國外的車都是有經過碰撞測試有很嚴苛的這個安全法規去把關的那反而我們國產車是沒有哦那為什麼進口車哎它不用在臺灣撞好這一些可不可以請社長跟我們質疑一下
[1378.60s -> 1397.96s] SPEAKER_02: 呃大家可能會誤會說進口車為什麼不需要做些測試而國產車需要嘛好事實上這個誤解是呃錯誤的呃交部的所有的法規不管對國產車跟對進口車的要求的標準是完全一致的完全公平的但是剛前面有提到
[1397.96s -> 1398.68s] UNKNOWN: 的
[1398.68s -> 1432.92s] SPEAKER_02: 呃一個進口車它如果不在臺灣做測試它是可以選擇在國外做測試但是在國外做測試它有幾個條件它必須是那個測試的實驗室必須是取得交部臺灣的交部認可的檢測機構那它的測試的內容測試方法是我們的判定跟國內的其他包括ART的實驗室完全相同的好所以這個部分呃可能因為大家沒有看到這個車在國內做測試就誤以為這個車不需要做測試還是需要
[1456.22s -> 1489.58s] SPEAKER_01: 當然呃最近呃這個TNK這麼大的這個重要的這個事件呢也跟大家這個呃做了一個分享是未來TNK該做什麼樣的事情跟它未來進行的內容哈我想呃都在今天這樣的一個訪談當中哈呃跟大家做了一個說明今天非常開心啊能夠呃訪問到執行長也非常呃希望我們VSCC哈接下來能夠對於我們的未來的電動智能聯網車做更好的把關能夠協助我們臺灣的汽車產業呢能夠繼續升級今天就謝謝您
[1489.90s -> 1494.78s] SPEAKER_02: 好謝謝社長謝謝創辦人也謝謝各位這個聽眾跟觀眾朋友謝謝
